A/C,Source,G/F,units,0,20,40,50,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200
ASH 25e (43),DJ,43,m/s,,,,,,,,,0.62,0.46,0.46,0.47,0.49,0.53,0.56,0.61,0.66,0.72,0.77,0.85,0.9,1,1.08,1.15,1.24,1.33,1.43,1.49,1.64,1.73,1.85,,
ASK 23 (26.3),IDA,26.3,m/s,,,,,,,0.69,0.67,0.69,0.71,0.75,0.79,0.86,0.92,1,1.1,1.21,1.32,1.46,1.59,1.73,1.88,2.04,2.2,2.37,2.54,2.73,2.93,3.16,3.4,3.67,,
Astir CS (29),IDA,29,knots,,,,,,,1.47,1.36,1.36,1.36,1.4,1.47,1.55,1.66,1.78,1.96,2.12,2.34,2.57,2.8,2.98,3.25,3.59,3.93,4.27,4.57,4.87,5.18,5.52,5.89,6.27,,
Astir CS (30),MD,30,m/s,,,,,,,0.65,0.62,0.61,0.62,0.65,0.72,0.75,0.82,0.85,0.95,1,1.07,1.15,1.25,1.38,1.5,1.65,1.75,1.92,2.1,2.3,2.45,2.65,2.8,3.05,,
Astir CS G-102 (29),IDA,29,m/s,,,,,,,0.76,0.71,0.7,0.7,0.72,0.76,0.81,0.86,0.93,1.02,1.09,1.18,1.28,1.37,1.49,1.61,1.74,1.88,2.04,2.2,2.37,2.55,2.73,2.92,3.12,,
Astir -Twin  (33.4),IDA,33.4,m/s,,,,,,,,,0.78,0.76,0.75,0.76,0.78,0.81,0.87,0.92,0.99,1.07,1.16,1.24,1.34,1.44,1.54,1.65,1.77,1.9,2.03,2.17,2.33,2.51,2.71,2.91,
ASW 15 (27.7),IDA,27.7,m/s,,,,,,,0.8,0.69,0.64,0.65,0.68,0.73,0.8,0.87,0.94,1.04,1.14,1.25,1.38,1.5,1.64,1.78,1.93,2.09,,,,,,,,,
ASW 15 (27.7),IDA,27.7,knots,,,,,,,1.55,1.32,1.25,1.25,1.32,1.4,1.55,1.66,1.81,2,2.19,2.42,2.64,2.87,3.17,3.44,3.7,4.04,,,,,,,,,
ASW 17 (32),IDA,32,m/s,,,,,,,,0.57,0.55,0.56,0.56,0.56,0.57,0.6,0.64,0.68,0.74,0.82,0.9,0.98,1.06,1.13,1.23,1.36,1.42,1.53,1.65,1.78,1.94,2.11,2.3,2.5,2.69
ASW 17 S/21 (32.1),IDA,32.1,m/s,,,,,,,,0.53,0.52,0.53,0.56,0.56,0.58,0.6,0.63,0.67,0.72,0.78,0.87,0.96,1.05,1.14,1.23,1.33,1.44,1.55,1.68,1.83,1.99,2.18,2.37,2.56,2.76
ASW 19 (31.5),IDA,31.5,m/s,,,,,,,2.2,0.65,0.63,0.63,0.65,0.69,0.75,0.81,0.87,0.94,1.02,1.09,1.17,1.27,1.37,1.49,1.63,1.76,1.92,2.07,2.25,2.44,2.64,2.84,3.04,3.26,3.37
